Video.files,Date,Time,Event,EventC,VideoC,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday
,20.2.2021,16:56:28,LS1 Ausflug,NA,NA,NA,NA,S1,Peenemuende,20.2.2021,16:56:28,203,20/02/2021,203
snip_2021_02_20_18_52_53_out.mp4,20.2.2021,18:52:31,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,20.2.2021,18:52:31,203,20/02/2021,203
snip_2021_02_20_19_33_28_out.mp4,20.2.2021,19:33:07,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,20.2.2021,19:33:07,203,20/02/2021,203
snip_2021_02_20_19_50_49_out.mp4,20.2.2021,19:50:28,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,20.2.2021,19:50:28,203,20/02/2021,203
snip_2021_02_20_20_02_36_out.mp4,20.2.2021,20:02:15,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,20.2.2021,20:02:15,203,20/02/2021,203
snip_2021_02_20_20_06_34_out.mp4,20.2.2021,20:06:13,LS1 Ausflug,-1,-1,1,1,S1,Peenemuende,20.2.2021,20:06:13,203,20/02/2021,203
snip_2021_02_20_20_06_35_in.mp4,20.2.2021,20:06:14,LS1 Einflug,1,1,1,1,S1,Peenemuende,20.2.2021,20:06:14,203,20/02/2021,203
snip_2021_02_20_20_26_59_out.mp4,20.2.2021,20:26:38,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,20.2.2021,20:26:38,203,20/02/2021,203
snip_2021_02_20_21_37_20_out.mp4,20.2.2021,21:36:58,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,20.2.2021,21:36:58,203,20/02/2021,203
snip_2021_02_20_22_02_42_in.mp4,20.2.2021,22:02:21,LS1 Einflug,1,1,0,1,S1,Peenemuende,20.2.2021,22:02:21,203,20/02/2021,203
snip_2021_02_20_23_53_06_in.mp4,20.2.2021,23:52:45,LS1 Einflug,1,1,0,1,S1,Peenemuende,20.2.2021,23:52:45,203,20/02/2021,203
snip_2021_02_21_00_34_09_out.mp4,21.2.2021,0:33:48,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,21.2.2021,0:33:48,204,20/02/2021,203
snip_2021_02_21_04_44_23_in.mp4,21.2.2021,4:44:04,LS1 Einflug,1,1,0,1,S1,Peenemuende,21.2.2021,4:44:04,204,20/02/2021,203
snip_2021_02_21_04_48_25_out.mp4,21.2.2021,4:48:06,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,21.2.2021,4:48:06,204,20/02/2021,203
snip_2021_02_21_18_32_09_out.mp4,21.2.2021,18:31:52,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,21.2.2021,18:31:52,204,21/02/2021,204
snip_2021_02_21_20_20_10_in.mp4,21.2.2021,20:19:53,LS1 Einflug,1,1,0,1,S1,Peenemuende,21.2.2021,20:19:53,204,21/02/2021,204
snip_2021_02_21_21_51_31_in.mp4,21.2.2021,21:51:14,LS1 Einflug,1,1,0,1,S1,Peenemuende,21.2.2021,21:51:14,204,21/02/2021,204
snip_2021_02_21_22_57_42_out.mp4,21.2.2021,22:57:26,LS1 Ausflug,-1,-1,1,1,S1,Peenemuende,21.2.2021,22:57:26,204,21/02/2021,204
snip_2021_02_21_22_57_43_in.mp4,21.2.2021,22:57:27,LS1 Einflug,1,1,1,1,S1,Peenemuende,21.2.2021,22:57:27,204,21/02/2021,204
snip_2021_02_22_20_26_56_in.mp4,22.2.2021,20:26:44,LS1 Einflug,1,1,0,1,S1,Peenemuende,22.2.2021,20:26:44,205,22/02/2021,205
snip_2021_02_22_21_57_14_in.mp4,22.2.2021,21:57:03,LS1 Einflug,0,-1,1,0,S1,Peenemuende,22.2.2021,21:57:03,205,22/02/2021,205
,NA,NA,,1,1,1,1,S1,Peenemuende,22.2.2021,21:57:03,205,22/02/2021,205
snip_2021_02_22_21_58_33_in.mp4,22.2.2021,21:58:21,LS1 Einflug,1,-1,1,0,S1,Peenemuende,22.2.2021,21:58:21,205,22/02/2021,205
,22.2.2021,21:58:21,LS1 Einflug,1,1,1,1,S1,Peenemuende,22.2.2021,21:58:21,205,22/02/2021,205
snip_2021_02_22_21_58_58_in.mp4,22.2.2021,21:58:46,LS1 Einflug,0,-1,1,0,S1,Peenemuende,22.2.2021,21:58:46,205,22/02/2021,205
,NA,NA,,1,1,1,1,S1,Peenemuende,22.2.2021,21:58:46,205,22/02/2021,205
snip_2021_02_22_21_59_55_out.mp4,22.2.2021,21:59:43,LS1 Ausflug,-1,-1,1,1,S1,Peenemuende,22.2.2021,21:59:43,205,22/02/2021,205
,NA,NA,,0,1,1,0,S1,Peenemuende,22.2.2021,21:59:43,205,22/02/2021,205
snip_2021_02_22_22_17_53_out.mp4,22.2.2021,22:17:42,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,22.2.2021,22:17:42,205,22/02/2021,205
snip_2021_02_22_22_25_16_in.mp4,22.2.2021,22:25:04,LS1 Einflug,1,1,0,1,S1,Peenemuende,22.2.2021,22:25:04,205,22/02/2021,205
snip_2021_02_23_00_04_06_in.mp4,23.2.2021,0:03:55,LS1 Einflug,1,1,0,1,S1,Peenemuende,23.2.2021,0:03:55,206,22/02/2021,205
snip_2021_02_23_00_44_54_out.mp4,23.2.2021,0:44:43,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,23.2.2021,0:44:43,206,22/02/2021,205
snip_2021_02_23_01_00_18_in.mp4,23.2.2021,1:00:07,LS1 Einflug,1,1,0,1,S1,Peenemuende,23.2.2021,1:00:07,206,22/02/2021,205
snip_2021_02_23_01_08_19_out.mp4,23.2.2021,1:08:08,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,23.2.2021,1:08:08,206,22/02/2021,205
snip_2021_02_23_05_44_59_in.mp4,23.2.2021,5:44:49,LS1 Einflug,1,1,0,1,S1,Peenemuende,23.2.2021,5:44:49,206,22/02/2021,205
,23.2.2021,5:44:49,LS1 Einflug,1,0,0,0,S1,Peenemuende,23.2.2021,5:44:49,206,22/02/2021,205
snip_2021_02_23_17_59_14_in.mp4,23.2.2021,17:59:05,LS1 Einflug,1,1,0,1,S1,Peenemuende,23.2.2021,17:59:05,206,23/02/2021,206
snip_2021_02_23_18_22_08_out.mp4,23.2.2021,18:22:00,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,23.2.2021,18:22:00,206,23/02/2021,206
snip_2021_02_23_19_41_19_in.mp4,23.2.2021,19:41:11,LS1 Ausflug,-1,-1,1,1,S1,Peenemuende,23.2.2021,19:41:11,206,23/02/2021,206
snip_2021_02_23_19_41_19_out.mp4,23.2.2021,19:41:12,LS1 Einflug,1,1,1,1,S1,Peenemuende,23.2.2021,19:41:12,206,23/02/2021,206
snip_2021_02_23_19_46_23_in.mp4,23.2.2021,19:46:16,LS1 Einflug,1,1,0,1,S1,Peenemuende,23.2.2021,19:46:16,206,23/02/2021,206
snip_2021_02_23_20_29_57_out.mp4,23.2.2021,20:29:50,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,23.2.2021,20:29:50,206,23/02/2021,206
snip_2021_02_23_21_43_23_out.mp4,23.2.2021,21:43:16,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,23.2.2021,21:43:16,206,23/02/2021,206
snip_2021_02_23_22_58_45_out.mp4,23.2.2021,22:58:38,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,23.2.2021,22:58:38,206,23/02/2021,206
snip_2021_02_23_23_48_17_in.mp4,23.2.2021,23:48:10,LS1 Einflug,1,1,0,1,S1,Peenemuende,23.2.2021,23:48:10,206,23/02/2021,206
snip_2021_02_24_03_19_15_out.mp4,24.2.2021,3:19:08,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,24.2.2021,3:19:08,207,23/02/2021,206
,24.2.2021,6:10:55,LS1 Ausflug,NA,NA,NA,NA,S1,Peenemuende,24.2.2021,6:10:55,207,23/02/2021,206
,24.2.2021,13:17:57,LS1 Ausflug,NA,NA,NA,NA,S1,Peenemuende,24.2.2021,13:17:57,207,24/02/2021,207
,24.2.2021,13:27:38,LS1 Einflug,NA,NA,NA,NA,S1,Peenemuende,24.2.2021,13:27:38,207,24/02/2021,207
,24.2.2021,15:47:52,LS1 Ausflug,NA,NA,NA,NA,S1,Peenemuende,24.2.2021,15:47:52,207,24/02/2021,207
snip_2021_02_24_18_43_29_out.mp4,24.2.2021,18:43:25,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,24.2.2021,18:43:25,207,24/02/2021,207
snip_2021_02_24_18_51_11_in.mp4,24.2.2021,18:51:07,LS1 Einflug,1,1,0,1,S1,Peenemuende,24.2.2021,18:51:07,207,24/02/2021,207
snip_2021_02_24_18_53_02_out.mp4,24.2.2021,18:52:58,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,24.2.2021,18:52:58,207,24/02/2021,207
snip_2021_02_24_19_34_10_in.mp4,24.2.2021,19:34:06,LS1 Einflug,1,1,0,1,S1,Peenemuende,24.2.2021,19:34:06,207,24/02/2021,207
snip_2021_02_24_20_07_37_out.mp4,24.2.2021,20:07:34,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,24.2.2021,20:07:34,207,24/02/2021,207
snip_2021_02_24_20_08_40_out.mp4,24.2.2021,20:08:37,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,24.2.2021,20:08:37,207,24/02/2021,207
snip_2021_02_24_20_27_07_out.mp4,24.2.2021,20:27:04,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,24.2.2021,20:27:04,207,24/02/2021,207
snip_2021_02_24_20_58_15_out.mp4,24.2.2021,20:58:12,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,24.2.2021,20:58:12,207,24/02/2021,207
snip_2021_02_24_21_13_15_out.mp4,24.2.2021,21:13:13,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,24.2.2021,21:13:13,207,24/02/2021,207
snip_2021_02_24_21_13_38_in.mp4,24.2.2021,21:13:36,LS1 Einflug,1,1,0,1,S1,Peenemuende,24.2.2021,21:13:36,207,24/02/2021,207
snip_2021_02_24_21_32_11_out.mp4,24.2.2021,21:32:08,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,24.2.2021,21:32:08,207,24/02/2021,207
snip_2021_02_24_21_55_45_in.mp4,24.2.2021,21:55:42,LS1 Einflug,1,1,0,1,S1,Peenemuende,24.2.2021,21:55:42,207,24/02/2021,207
snip_2021_02_24_22_36_03_out.mp4,24.2.2021,22:36:00,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,24.2.2021,22:36:00,207,24/02/2021,207
snip_2021_02_25_01_53_33_in.mp4,25.2.2021,1:53:31,LS1 Einflug,1,1,0,1,S1,Peenemuende,25.2.2021,1:53:31,208,24/02/2021,207
snip_2021_02_25_04_39_24_out.mp4,25.2.2021,4:39:22,LS1 Ausflug,-1,-1,1,1,S1,Peenemuende,25.2.2021,4:39:22,208,24/02/2021,207
,NA,NA,,0,1,1,0,S1,Peenemuende,25.2.2021,4:39:22,208,24/02/2021,207
snip_2021_02_25_04_39_42_out.mp4,25.2.2021,4:39:40,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,25.2.2021,4:39:40,208,24/02/2021,207
snip_2021_02_25_04_51_27_out.mp4,25.2.2021,4:51:26,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,25.2.2021,4:51:26,208,24/02/2021,207
snip_2021_02_25_18_15_35_in.mp4,25.2.2021,18:15:36,LS1 Einflug,1,1,0,1,S1,Peenemuende,25.2.2021,18:15:36,208,25/02/2021,208
snip_2021_02_25_18_18_36_out.mp4,25.2.2021,18:18:38,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,25.2.2021,18:18:38,208,25/02/2021,208
snip_2021_02_25_18_26_06_out.mp4,25.2.2021,18:26:08,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,25.2.2021,18:26:08,208,25/02/2021,208
snip_2021_02_25_18_56_05_in.mp4,25.2.2021,18:56:07,LS1 Einflug,0,-1,1,0,S1,Peenemuende,25.2.2021,18:56:07,208,25/02/2021,208
,NA,NA,,1,1,1,1,S1,Peenemuende,25.2.2021,18:56:07,208,25/02/2021,208
snip_2021_02_25_18_56_18_in.mp4,25.2.2021,18:56:19,LS1 Einflug,1,1,0,1,S1,Peenemuende,25.2.2021,18:56:19,208,25/02/2021,208
snip_2021_02_25_18_56_24_out.mp4,25.2.2021,18:56:25,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,25.2.2021,18:56:25,208,25/02/2021,208
snip_2021_02_25_19_20_58_in.mp4,25.2.2021,19:20:58,LS1 Einflug,1,1,0,1,S1,Peenemuende,25.2.2021,19:20:58,208,25/02/2021,208
snip_2021_02_25_20_38_09_out.mp4,25.2.2021,20:38:11,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,25.2.2021,20:38:11,208,25/02/2021,208
snip_2021_02_25_21_03_29_in.mp4,25.2.2021,21:03:30,LS1 Ausflug,-1,-1,1,1,S1,Peenemuende,25.2.2021,21:03:30,208,25/02/2021,208
snip_2021_02_25_21_03_29_out.mp4,25.2.2021,21:03:31,LS1 Einflug,1,1,1,1,S1,Peenemuende,25.2.2021,21:03:31,208,25/02/2021,208
snip_2021_02_25_22_44_24_out.mp4,25.2.2021,22:44:25,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,25.2.2021,22:44:25,208,25/02/2021,208
snip_2021_02_25_23_27_10_in.mp4,25.2.2021,23:27:12,LS1 Einflug,1,1,0,1,S1,Peenemuende,25.2.2021,23:27:12,208,25/02/2021,208
snip_2021_02_26_00_38_33_in.mp4,26.2.2021,0:38:36,LS1 Einflug,1,1,0,1,S1,Peenemuende,26.2.2021,0:38:36,209,25/02/2021,208
snip_2021_02_26_03_23_57_out.mp4,26.2.2021,3:24:00,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,26.2.2021,3:24:00,209,25/02/2021,208
,26.2.2021,6:01:21,LS1 Einflug,NA,NA,NA,NA,S1,Peenemuende,26.2.2021,6:01:21,209,25/02/2021,208
snip_2021_02_26_18_21_27_out.mp4,26.2.2021,18:21:33,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,26.2.2021,18:21:33,209,26/02/2021,209
snip_2021_02_26_18_22_37_in.mp4,26.2.2021,18:22:43,LS1 Einflug,1,1,0,1,S1,Peenemuende,26.2.2021,18:22:43,209,26/02/2021,209
snip_2021_02_26_18_28_44_out.mp4,26.2.2021,18:28:50,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,26.2.2021,18:28:50,209,26/02/2021,209
snip_2021_02_26_18_53_18_out.mp4,26.2.2021,18:53:24,LS1 Ausflug,-1,-1,1,1,S1,Peenemuende,26.2.2021,18:53:24,209,26/02/2021,209
snip_2021_02_26_18_53_19_in.mp4,26.2.2021,18:53:25,LS1 Einflug,1,1,1,1,S1,Peenemuende,26.2.2021,18:53:25,209,26/02/2021,209
snip_2021_02_26_20_53_31_out.mp4,26.2.2021,20:53:37,LS1 Ausflug,-1,-1,1,1,S1,Peenemuende,26.2.2021,20:53:37,209,26/02/2021,209
snip_2021_02_26_20_53_32_in.mp4,26.2.2021,20:53:38,LS1 Einflug,1,1,1,1,S1,Peenemuende,26.2.2021,20:53:38,209,26/02/2021,209
,26.2.2021,20:53:38,LS1 Ausflug,-1,-1,1,1,S1,Peenemuende,26.2.2021,20:53:38,209,26/02/2021,209
snip_2021_02_27_05_05_36_out.mp4,27.2.2021,5:05:44,LS1 Ausflug,-1,-1,0,1,S1,Peenemuende,27.2.2021,5:05:44,210,26/02/2021,209
snip_2021_02_27_19_09_58_in.mp4,27.2.2021,19:09:37,LS1 Einflug,1,1,0,1,S2,Peenemuende,27.2.2021,19:09:37,210,27/02/2021,210
snip_2021_02_27_19_44_05_out.mp4,27.2.2021,19:43:42,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,27.2.2021,19:43:42,210,27/02/2021,210
snip_2021_02_27_20_06_49_out.mp4,27.2.2021,20:06:27,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,27.2.2021,20:06:27,210,27/02/2021,210
snip_2021_02_27_20_32_50_out.mp4,27.2.2021,20:32:29,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,27.2.2021,20:32:29,210,27/02/2021,210
snip_2021_02_27_21_02_20_in.mp4,27.2.2021,21:01:58,LS1 Einflug,1,1,0,1,S2,Peenemuende,27.2.2021,21:01:58,210,27/02/2021,210
snip_2021_02_27_22_06_45_in.mp4,27.2.2021,22:06:24,LS1 Einflug,1,1,0,1,S2,Peenemuende,27.2.2021,22:06:24,210,27/02/2021,210
snip_2021_02_27_23_28_58_in.mp4,27.2.2021,23:28:37,LS1 Einflug,0,-1,1,0,S2,Peenemuende,27.2.2021,23:28:37,210,27/02/2021,210
,NA,NA,,1,1,1,1,S2,Peenemuende,27.2.2021,23:28:37,210,27/02/2021,210
snip_2021_02_28_19_03_12_out.mp4,28.2.2021,19:02:55,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,28.2.2021,19:02:55,211,28/02/2021,211
snip_2021_02_28_19_20_38_in.mp4,28.2.2021,19:20:21,LS1 Ausflug,-1,-1,1,1,S2,Peenemuende,28.2.2021,19:20:21,211,28/02/2021,211
snip_2021_02_28_19_20_38_out.mp4,28.2.2021,19:20:21,LS1 Einflug,1,1,1,1,S2,Peenemuende,28.2.2021,19:20:21,211,28/02/2021,211
snip_2021_02_28_20_53_03_out.mp4,28.2.2021,20:52:46,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,28.2.2021,20:52:46,211,28/02/2021,211
snip_2021_03_01_04_04_36_in.mp4,1.3.2021,4:04:21,LS1 Einflug,1,1,0,1,S2,Peenemuende,1.3.2021,4:04:21,212,28/02/2021,211
snip_2021_03_01_19_17_13_in.mp4,1.3.2021,19:17:00,LS1 Einflug,1,1,0,1,S2,Peenemuende,1.3.2021,19:17:00,212,01/03/2021,212
snip_2021_03_01_19_26_15_out.mp4,1.3.2021,19:26:03,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,1.3.2021,19:26:03,212,01/03/2021,212
snip_2021_03_02_04_00_46_in.mp4,2.3.2021,4:00:35,LS1 Einflug,1,1,0,1,S2,Peenemuende,2.3.2021,4:00:35,213,01/03/2021,212
snip_2021_03_02_05_45_26_out.mp4,2.3.2021,5:45:15,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,2.3.2021,5:45:15,213,01/03/2021,212
snip_2021_03_03_00_34_00_out.mp4,3.3.2021,0:33:53,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,3.3.2021,0:33:53,214,02/03/2021,213
snip_2021_03_03_01_01_51_out.mp4,3.3.2021,1:01:44,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,3.3.2021,1:01:44,214,02/03/2021,213
snip_2021_03_03_01_02_41_in.mp4,3.3.2021,1:02:35,LS1 Einflug,1,1,0,1,S2,Peenemuende,3.3.2021,1:02:35,214,02/03/2021,213
snip_2021_03_03_01_10_08_out.mp4,3.3.2021,1:10:01,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,3.3.2021,1:10:01,214,02/03/2021,213
snip_2021_03_03_02_14_09_out.mp4,3.3.2021,2:14:03,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,3.3.2021,2:14:03,214,02/03/2021,213
snip_2021_03_03_02_14_20_in.mp4,3.3.2021,2:14:13,LS1 Einflug,1,1,0,1,S2,Peenemuende,3.3.2021,2:14:13,214,02/03/2021,213
snip_2021_03_03_02_28_46_in.mp4,3.3.2021,2:28:40,LS1 Einflug,1,1,0,1,S2,Peenemuende,3.3.2021,2:28:40,214,02/03/2021,213
snip_2021_03_03_04_02_04_in.mp4,3.3.2021,4:01:57,LS1 Einflug,1,1,0,1,S2,Peenemuende,3.3.2021,4:01:57,214,02/03/2021,213
snip_2021_03_03_04_54_34_in.mp4,3.3.2021,4:54:28,LS1 Einflug,1,1,0,1,S2,Peenemuende,3.3.2021,4:54:28,214,02/03/2021,213
snip_2021_03_03_18_40_59_out.mp4,3.3.2021,18:40:56,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,3.3.2021,18:40:56,214,03/03/2021,214
snip_2021_03_03_18_41_11_in.mp4,3.3.2021,18:41:08,LS1 Einflug,1,1,0,1,S2,Peenemuende,3.3.2021,18:41:08,214,03/03/2021,214
snip_2021_03_03_18_53_50_out.mp4,3.3.2021,18:53:47,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,3.3.2021,18:53:47,214,03/03/2021,214
snip_2021_03_03_20_39_22_in.mp4,3.3.2021,20:39:19,LS1 Einflug,NA,NA,NA,NA,S2,Peenemuende,3.3.2021,20:39:19,214,03/03/2021,214
snip_2021_03_03_20_48_50_in.mp4,3.3.2021,20:48:47,LS1 Einflug,0,-1,1,0,S2,Peenemuende,3.3.2021,20:48:47,214,03/03/2021,214
,NA,NA,,1,1,1,1,S2,Peenemuende,3.3.2021,20:48:47,214,03/03/2021,214
snip_2021_03_03_21_02_38_out.mp4,3.3.2021,21:02:36,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,3.3.2021,21:02:36,214,03/03/2021,214
snip_2021_03_03_21_12_52_in.mp4,3.3.2021,21:12:49,LS1 Einflug,0,-1,1,0,S2,Peenemuende,3.3.2021,21:12:49,214,03/03/2021,214
,NA,NA,,1,1,1,1,S2,Peenemuende,3.3.2021,21:12:49,214,03/03/2021,214
snip_2021_03_03_22_37_41_out.mp4,3.3.2021,22:37:38,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,3.3.2021,22:37:38,214,03/03/2021,214
snip_2021_03_03_23_32_03_out.mp4,3.3.2021,23:32:01,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,3.3.2021,23:32:01,214,03/03/2021,214
snip_2021_03_03_23_38_02_in.mp4,3.3.2021,23:38:00,LS1 Einflug,1,1,0,1,S2,Peenemuende,3.3.2021,23:38:00,214,03/03/2021,214
snip_2021_03_03_23_45_15_in.mp4,3.3.2021,23:45:13,LS1 Einflug,1,1,0,1,S2,Peenemuende,3.3.2021,23:45:13,214,03/03/2021,214
snip_2021_03_04_00_34_28_in.mp4,4.3.2021,0:34:26,LS1 Einflug,1,1,0,1,S2,Peenemuende,4.3.2021,0:34:26,215,03/03/2021,214
snip_2021_03_04_01_17_21_in.mp4,4.3.2021,1:17:18,LS1 Einflug,1,1,0,1,S2,Peenemuende,4.3.2021,1:17:18,215,03/03/2021,214
snip_2021_03_04_01_39_50_out.mp4,4.3.2021,1:39:48,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,4.3.2021,1:39:48,215,03/03/2021,214
snip_2021_03_04_02_55_54_out.mp4,4.3.2021,2:55:52,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,4.3.2021,2:55:52,215,03/03/2021,214
snip_2021_03_04_02_59_38_in.mp4,4.3.2021,2:59:36,LS1 Einflug,1,1,0,1,S2,Peenemuende,4.3.2021,2:59:36,215,03/03/2021,214
snip_2021_03_04_03_40_15_out.mp4,4.3.2021,3:40:14,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,4.3.2021,3:40:14,215,03/03/2021,214
snip_2021_03_04_03_48_55_in.mp4,4.3.2021,3:48:54,LS1 Einflug,1,1,0,1,S2,Peenemuende,4.3.2021,3:48:54,215,03/03/2021,214
snip_2021_03_04_04_50_53_out.mp4,4.3.2021,4:50:51,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,4.3.2021,4:50:51,215,03/03/2021,214
snip_2021_03_04_05_02_01_in.mp4,4.3.2021,5:02:00,LS1 Einflug,1,1,0,1,S2,Peenemuende,4.3.2021,5:02:00,215,03/03/2021,214
snip_2021_03_04_05_02_08_in.mp4,4.3.2021,5:02:06,LS1 Ausflug,-1,-1,1,1,S2,Peenemuende,4.3.2021,5:02:06,215,03/03/2021,214
snip_2021_03_04_05_02_08_out.mp4,4.3.2021,5:02:07,LS1 Einflug,1,1,1,1,S2,Peenemuende,4.3.2021,5:02:07,215,03/03/2021,214
snip_2021_03_04_18_27_16_out.mp4,4.3.2021,18:27:17,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,4.3.2021,18:27:17,215,04/03/2021,215
snip_2021_03_04_18_28_53_in.mp4,4.3.2021,18:28:55,LS1 Einflug,1,1,0,1,S2,Peenemuende,4.3.2021,18:28:55,215,04/03/2021,215
snip_2021_03_04_18_34_44_in.mp4,4.3.2021,18:34:45,LS1 Einflug,1,1,0,1,S2,Peenemuende,4.3.2021,18:34:45,215,04/03/2021,215
snip_2021_03_04_18_36_33_in.mp4,4.3.2021,18:36:34,LS1 Ausflug,-1,-1,1,1,S2,Peenemuende,4.3.2021,18:36:34,215,04/03/2021,215
snip_2021_03_04_18_36_33_out.mp4,4.3.2021,18:36:34,LS1 Einflug,1,1,1,1,S2,Peenemuende,4.3.2021,18:36:34,215,04/03/2021,215
snip_2021_03_04_19_20_35_out.mp4,4.3.2021,19:20:37,LS1 Ausflug,-1,-1,1,1,S2,Peenemuende,4.3.2021,19:20:37,215,04/03/2021,215
snip_2021_03_04_19_20_36_in.mp4,4.3.2021,19:20:37,LS1 Einflug,1,1,1,1,S2,Peenemuende,4.3.2021,19:20:37,215,04/03/2021,215
snip_2021_03_04_20_05_38_in.mp4,4.3.2021,20:05:40,LS1 Einflug,0,-1,1,0,S2,Peenemuende,4.3.2021,20:05:40,215,04/03/2021,215
,NA,NA,,1,1,1,1,S2,Peenemuende,4.3.2021,20:05:40,215,04/03/2021,215
snip_2021_03_04_20_42_11_out.mp4,4.3.2021,20:42:12,LS1 Ausflug,-1,-1,1,1,S2,Peenemuende,4.3.2021,20:42:12,215,04/03/2021,215
snip_2021_03_04_20_42_12_in.mp4,4.3.2021,20:42:13,LS1 Einflug,1,1,1,1,S2,Peenemuende,4.3.2021,20:42:13,215,04/03/2021,215
snip_2021_03_04_21_23_00_in.mp4,4.3.2021,21:23:02,LS1 Ausflug,-1,-1,1,1,S2,Peenemuende,4.3.2021,21:23:02,215,04/03/2021,215
snip_2021_03_04_21_23_00_out.mp4,4.3.2021,21:23:02,LS1 Einflug,1,1,1,1,S2,Peenemuende,4.3.2021,21:23:02,215,04/03/2021,215
snip_2021_03_04_21_54_13_in.mp4,4.3.2021,21:54:15,LS1 Ausflug,-1,-1,1,1,S2,Peenemuende,4.3.2021,21:54:15,215,04/03/2021,215
snip_2021_03_04_21_54_13_out.mp4,4.3.2021,21:54:15,LS1 Einflug,1,1,1,1,S2,Peenemuende,4.3.2021,21:54:15,215,04/03/2021,215
snip_2021_03_04_22_10_27_in.mp4,4.3.2021,22:10:29,LS1 Einflug,1,1,0,1,S2,Peenemuende,4.3.2021,22:10:29,215,04/03/2021,215
snip_2021_03_04_22_30_43_in.mp4,4.3.2021,22:30:45,LS1 Ausflug,-1,-1,1,1,S2,Peenemuende,4.3.2021,22:30:45,215,04/03/2021,215
snip_2021_03_04_22_30_43_out.mp4,4.3.2021,22:30:45,LS1 Einflug,1,1,1,1,S2,Peenemuende,4.3.2021,22:30:45,215,04/03/2021,215
snip_2021_03_04_22_30_51_out.mp4,4.3.2021,22:30:53,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,4.3.2021,22:30:53,215,04/03/2021,215
snip_2021_03_04_23_01_46_out.mp4,4.3.2021,23:01:49,LS1 Ausflug,-1,-1,0,1,S2,Peenemuende,4.3.2021,23:01:49,215,04/03/2021,215
snip_2021_03_04_23_19_50_in.mp4,4.3.2021,23:19:52,LS1 Einflug,1,1,0,1,S2,Peenemuende,4.3.2021,23:19:52,215,04/03/2021,215
